course_id	course_name_x	course_desc	units_x	course_name_y	units_y	College	Total # Students	# Responses	Response Rate	Hrs Per Week	Interest in student learning	Clearly explain course requirements	Clear learning objectives & goals	Instructor provides feedback to students to improve	Demonstrate importance of subject matter	Explains subject matter of course	Show respect for all students	Overall teaching rate	Overall course rate
90711	Statistical Reasoning with R	Statistical reasoning is essential to learning from data and understanding the strengths and limitations of data analyses This course is grounded in questions of importance in public policy and focuses on how data and statistical reasoning can inform those questions We will use a hands on approach to develop skills and critical thinking in the fundamentals of causal inference univariate and bivariate descriptive statistics quantifying uncertainty statistical inference and linear regression The hands on approach involves learning the basics of how to use the R statistical language and weekly labs in which students will use R to carry out data analysis on real world policy issues in a supervised setting While useful no R or computer programming experience is required for the course and this course does not replace the stand alone R course This is a rigorous graduate school introductory statistics and data analysis course and students who take this course will be enabled to use and further develop statistical reasoning and methods in your other courses your summer internship your Systems Synthesis Project and in your career In todays information world data are available everywhere and the role of statistics is rapidly increasing in public policy health care the arts the entertainment industry business academia and many other parts of society We echo the message of The New York Times which published an article entitled For Todays Graduate Just One Word Statistics	12	Statistical Reasoning with R	12	Heinz College	31	20	64.50%	14.8	4.85	4.65	4.55	4.25	4.85	4.65	4.9	4.9	4.3
90714	Policy and Politics in American Institutions	The purpose of this course is to study the structure of the American government the main actors in the policy process as well as critical policy issues The emphasis will be on the study of the central political institutions The Presidency and Congress as well as critical decisions of the Supreme Court and their societal impact The course will also emphasize the analysis of critical socio economic policies including social and educational policies among others We will also analyze Supreme Court decisions regarding minorities rights gender issues and voting rights among others Throughout the course students will be encouraged to analyze and discuss the evolution of key political and policy issues We will place special emphasis on the interactions between government and society and the role of social and interest groups in the process	12	Policy and Politics in American Institutions	12	Heinz College	32	21	65.60%	8.14	4.81	4.81	4.57	4.6	4.8	4.65	4.65	4.7	4.52
90717	Writing for Public Policy	Professional writing or writing for business focused industry specific contexts differs from academic writing in objective audience structure style and format It focuses more on problem solving than on exposition of ideas and is generally targeted to diverse audiences with varying levels of expertise Therefore effective writing in the workplace often requires adapting writing skills and habits to meet readers needs Additionally when hiring recent graduates for a mid level position employers identify writing skills as one of the top five factors signaling leadership potential Whether youre looking to maximize the impact of your communications at work seeking project funding or looking to increase your visibility on line this seven week mini course will prepare you to assume a leadership role in your industry through effective written communication This course will not only help you refine the essentials of workplace writing but will also provide strategies guidelines and best practices for writing the kinds of industry specific documents that policy information security systems and creative industry professionals need This course is designed for experienced writers who want to take their skills to the next level This course assumes basic proficiency in English grammar	6	Writing for Public Policy	6	Heinz College	24	19	79.20%	8.63	4.05	3.63	3.89	3.63	3.79	3.89	4.32	3.47	3.26
90717	Writing for Public Policy	Professional writing or writing for business focused industry specific contexts differs from academic writing in objective audience structure style and format It focuses more on problem solving than on exposition of ideas and is generally targeted to diverse audiences with varying levels of expertise Therefore effective writing in the workplace often requires adapting writing skills and habits to meet readers needs Additionally when hiring recent graduates for a mid level position employers identify writing skills as one of the top five factors signaling leadership potential Whether youre looking to maximize the impact of your communications at work seeking project funding or looking to increase your visibility on line this seven week mini course will prepare you to assume a leadership role in your industry through effective written communication This course will not only help you refine the essentials of workplace writing but will also provide strategies guidelines and best practices for writing the kinds of industry specific documents that policy information security systems and creative industry professionals need This course is designed for experienced writers who want to take their skills to the next level This course assumes basic proficiency in English grammar	6	Writing for Public Policy	6	Heinz College	10	10	100.00%	8.3	5	4.9	4.9	4.8	4.7	4.8	5	4.8	4.6
90717	Writing for Public Policy	Professional writing or writing for business focused industry specific contexts differs from academic writing in objective audience structure style and format It focuses more on problem solving than on exposition of ideas and is generally targeted to diverse audiences with varying levels of expertise Therefore effective writing in the workplace often requires adapting writing skills and habits to meet readers needs Additionally when hiring recent graduates for a mid level position employers identify writing skills as one of the top five factors signaling leadership potential Whether youre looking to maximize the impact of your communications at work seeking project funding or looking to increase your visibility on line this seven week mini course will prepare you to assume a leadership role in your industry through effective written communication This course will not only help you refine the essentials of workplace writing but will also provide strategies guidelines and best practices for writing the kinds of industry specific documents that policy information security systems and creative industry professionals need This course is designed for experienced writers who want to take their skills to the next level This course assumes basic proficiency in English grammar	6	Writing for Public Policy	6	Heinz College	24	17	70.80%	9.38	3.82	3.53	3.71	3.59	3.76	3.41	3.82	3.35	2.88
90717	Writing for Public Policy	Professional writing or writing for business focused industry specific contexts differs from academic writing in objective audience structure style and format It focuses more on problem solving than on exposition of ideas and is generally targeted to diverse audiences with varying levels of expertise Therefore effective writing in the workplace often requires adapting writing skills and habits to meet readers needs Additionally when hiring recent graduates for a mid level position employers identify writing skills as one of the top five factors signaling leadership potential Whether youre looking to maximize the impact of your communications at work seeking project funding or looking to increase your visibility on line this seven week mini course will prepare you to assume a leadership role in your industry through effective written communication This course will not only help you refine the essentials of workplace writing but will also provide strategies guidelines and best practices for writing the kinds of industry specific documents that policy information security systems and creative industry professionals need This course is designed for experienced writers who want to take their skills to the next level This course assumes basic proficiency in English grammar	6	Writing for Public Policy	6	Heinz College	12	12	100.00%	8.58	4.64	4.55	4.58	4.75	4.75	4.67	4.83	4.67	4.58
90717	Writing for Public Policy	Professional writing or writing for business focused industry specific contexts differs from academic writing in objective audience structure style and format It focuses more on problem solving than on exposition of ideas and is generally targeted to diverse audiences with varying levels of expertise Therefore effective writing in the workplace often requires adapting writing skills and habits to meet readers needs Additionally when hiring recent graduates for a mid level position employers identify writing skills as one of the top five factors signaling leadership potential Whether youre looking to maximize the impact of your communications at work seeking project funding or looking to increase your visibility on line this seven week mini course will prepare you to assume a leadership role in your industry through effective written communication This course will not only help you refine the essentials of workplace writing but will also provide strategies guidelines and best practices for writing the kinds of industry specific documents that policy information security systems and creative industry professionals need This course is designed for experienced writers who want to take their skills to the next level This course assumes basic proficiency in English grammar	6	Writing for Public Policy	6	Heinz College	23	17	73.90%	8.18	3.65	3	3.35	3.35	3.44	3.18	3.71	3.12	2.94
90717	Writing for Public Policy	Professional writing or writing for business focused industry specific contexts differs from academic writing in objective audience structure style and format It focuses more on problem solving than on exposition of ideas and is generally targeted to diverse audiences with varying levels of expertise Therefore effective writing in the workplace often requires adapting writing skills and habits to meet readers needs Additionally when hiring recent graduates for a mid level position employers identify writing skills as one of the top five factors signaling leadership potential Whether youre looking to maximize the impact of your communications at work seeking project funding or looking to increase your visibility on line this seven week mini course will prepare you to assume a leadership role in your industry through effective written communication This course will not only help you refine the essentials of workplace writing but will also provide strategies guidelines and best practices for writing the kinds of industry specific documents that policy information security systems and creative industry professionals need This course is designed for experienced writers who want to take their skills to the next level This course assumes basic proficiency in English grammar	6	Writing for Public Policy	6	Heinz College	20	14	70.00%	6.93	4.71	4.71	4.71	4.57	4.86	4.71	4.86	4.57	4.5
90717	Writing for Public Policy	Professional writing or writing for business focused industry specific contexts differs from academic writing in objective audience structure style and format It focuses more on problem solving than on exposition of ideas and is generally targeted to diverse audiences with varying levels of expertise Therefore effective writing in the workplace often requires adapting writing skills and habits to meet readers needs Additionally when hiring recent graduates for a mid level position employers identify writing skills as one of the top five factors signaling leadership potential Whether youre looking to maximize the impact of your communications at work seeking project funding or looking to increase your visibility on line this seven week mini course will prepare you to assume a leadership role in your industry through effective written communication This course will not only help you refine the essentials of workplace writing but will also provide strategies guidelines and best practices for writing the kinds of industry specific documents that policy information security systems and creative industry professionals need This course is designed for experienced writers who want to take their skills to the next level This course assumes basic proficiency in English grammar	6	Writing for Public Policy	6	Heinz College	20	9	45.00%	6.67	4.78	4.78	4.89	4.89	4.67	4.89	4.89	4.89	4.78
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	10	83.30%	8.3	4.7	4.8	4.9	5	5	5	5	4.9	4.7
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	10	83.30%	9.67	5	4.8	4.8	4.9	4.9	4.9	5	4.9	4.7
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	11	9	81.80%	6.67	5	5	4.89	5	5	5	5	4.89	4.89
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	12	100.00%	7.5	5	4.58	4.83	4.5	4.92	4.83	4.92	4.67	4.42
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	9	75.00%	8.67	4.67	4.78	4.63	4.75	4.88	4.56	4.89	4.67	4.67
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	10	9	90.00%	5	4.89	4.89	4.89	4.78	4.67	4.44	4.67	4.44	4.22
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	12	100.00%	9	4.33	4.17	4.42	4.25	4.25	4.42	4.58	4.33	3.75
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	11	10	90.90%	7.4	4.8	4.6	4.8	4.8	4.8	4.8	4.9	4.8	4.6
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	12	100.00%	5.5	4.08	4	4	3.83	4	3.67	4	3.75	3.67
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	10	9	90.00%	5.33	4.56	4.56	4.78	4.67	4.89	4.67	4.44	4.44	4.33
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	10	83.30%	6.5	4.8	3.9	4.2	4.6	4.6	4.7	4.4	4.2	4.3
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	8	66.70%	5	5	4.75	4.88	4.88	4.75	4.88	4.88	4.88	4.75
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	12	100.00%	7.75	4.58	4.83	4.83	4.83	4.55	4.82	5	4.75	4.58
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	11	91.70%	5.55	4.73	4.36	4.55	4.55	4.73	4.45	4.91	4.55	4.09
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	12	100.00%	7	5	4.92	4.92	5	5	4.83	4.92	5	4.92
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	11	7	63.60%	7.14	4.57	4.57	4.71	4.43	4.43	4.43	4.29	4.43	4.29
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	6	50.00%	8.5	4.67	4.83	4.67	4.5	5	4.83	4.83	4.67	4.5
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	14	6	42.90%	7	4.83	4.17	4.33	4.67	4.17	4.5	5	4.33	4.33
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	12	100.00%	6.5	4.58	3.83	4.17	4.33	4.33	4.17	4.42	4.25	3.92
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	11	10	90.90%	5.9	4	4.5	4.5	4.1	4.4	3.8	3.7	3.8	3.4
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	7	58.30%	6.71	4.71	5	5	5	4.67	5	5	4.71	4.71
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	12	10	83.30%	6.5	4.8	4.8	4.7	4.7	4.8	4.8	4.8	4.7	4.8
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	13	9	69.20%	8	4.89	4.33	4.78	4.67	4.89	4.56	4.89	4.89	4.44
90718	Strategic Presentation Skills	Strategic Presentation Skills SPS provides practical instruction for preparing and delivering professional presentations Activities and assignments include analyzing audience members writing outlines creating cohesive visuals and speaking extemporaneously Students target and engage specific audiences using a communication style suitable for workplace environments Overall the course helps students develop confidence and apply effective techniques when speaking in a public setting	6	Strategic Presentation Skills	6	Heinz College	11	6	54.50%	8.5	5	4.5	5	5	5	4.83	5	5	4.83
90719	Physical Technical Systems I	Information May be taken to fulfill Systems Synthesis requirement second year only Physical Technical Systems introduces students of public management to important technological issues which they will face in their professional careers The course focuses on research and presentation of formal oral and written reports Students learn how to identify a problem structure and analyze the problem and generate conclusions and recommendations in much the same way that they would as policy analysts or managers Students work with a client or decision maker In addition to building research and problem solving skills students gain practice in working as part of a professional team operating in a research environment that addresses technical social and political issues For this reason Physical Technical Systems courses are undertaken jointly with the Heinz School the Department of Engineering and Public Policy and Department of Social and Decision Sciences Every Physical Technical Systems course addresses a different real world problem often for a real client To learn the topics for next semester as well as topics from the last few years see http www cmu edu epp prospective undergraduate epp project courses	12	Physical Technical Systems I	12	Heinz College	2	1	50.00%	11	5	5	5	5	5	5	5	5	5
90719	Physical Technical Systems I	Information May be taken to fulfill Systems Synthesis requirement second year only Physical Technical Systems introduces students of public management to important technological issues which they will face in their professional careers The course focuses on research and presentation of formal oral and written reports Students learn how to identify a problem structure and analyze the problem and generate conclusions and recommendations in much the same way that they would as policy analysts or managers Students work with a client or decision maker In addition to building research and problem solving skills students gain practice in working as part of a professional team operating in a research environment that addresses technical social and political issues For this reason Physical Technical Systems courses are undertaken jointly with the Heinz School the Department of Engineering and Public Policy and Department of Social and Decision Sciences Every Physical Technical Systems course addresses a different real world problem often for a real client To learn the topics for next semester as well as topics from the last few years see http www cmu edu epp prospective undergraduate epp project courses	12	Physical Technical Systems I	12	Heinz College	2	1	50.00%	11	5	5	5	5	5	5	5	5	5
90721	Healthcare Management	This course introduces students to the knowledge and skills required to strategically manage the rapidly changing internal and external environment of health care organizations Through readings lectures class discussions and case reviews the course is designed to provide students with a foundation in contemporary health care organizational structures and management practices Students will explore problems and decisions facing health care executives in areas such as clinical quality organizational effectiveness efficiency growth stakeholder conflicts provider incentives margin versus mission tradeoffs human resources strategic planning and the like all in a highly complex political environment A primary theme of this course is the application of ethical management practices as codified in the American College of Healthcare Executives Code of Ethics By providing a general overview of the responsibilities of health care leaders and managers students will have a contextual reference for the application of future coursework This is a hybrid course where discussion will take place both in the classroom and online via Canvas Several lectures have been taped and should be watched before coming to class in order to ensure preparation and participation In lieu of assignments students will be required to respond to prompts exercises in class and on the Canvas discussion board and interact with their fellow students Excellent attendance and active participation are required in order to succeed in the class	6	Healthcare Management	6	Heinz College	16	16	100.00%	6.13	4.94	4.69	4.56	4.25	4.94	4.94	5	4.81	4.75
90722	Management Science I Optimization Multicriteria Methods	This course along with its companions 90 760 Management Science II Decision and Risk Modeling 94 833 Decision Analysis and Multi Criteria Decision Making and 95 760 Decision Making Under Uncertainty are introductory courses in analytics and management science that survey a variety of hands on quantitative and modeling methods useful to decision makers and analysts 90 722 focuses on optimization models and methods Normally Heinz PPM HCPM MBTM and MEIM students take 90 722 90 760 whereas MISM students take 95 760 which pulls examples from the information systems context Both tracks feed into 94 833 although students with a strong quantitative background can take 94 833 in the first year none of the other courses are actually a prerequisite for 94 833	6	Management Science I: Optimization &amp; Multicriteria Methods	6	Heinz College	53	29	54.70%	11.86	4.55	4.62	4.62	4.31	4.75	4.71	4.46	4.61	4.57
90722	Management Science I Optimization Multicriteria Methods	This course along with its companions 90 760 Management Science II Decision and Risk Modeling 94 833 Decision Analysis and Multi Criteria Decision Making and 95 760 Decision Making Under Uncertainty are introductory courses in analytics and management science that survey a variety of hands on quantitative and modeling methods useful to decision makers and analysts 90 722 focuses on optimization models and methods Normally Heinz PPM HCPM MBTM and MEIM students take 90 722 90 760 whereas MISM students take 95 760 which pulls examples from the information systems context Both tracks feed into 94 833 although students with a strong quantitative background can take 94 833 in the first year none of the other courses are actually a prerequisite for 94 833	6	Management Science I: Optimization &amp; Multicriteria Methods	6	Heinz College	49	20	40.80%	14.3	4.5	4.3	4.65	4	4.7	4.35	4.3	4.45	4.5
